file	main
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_babytrain_eval_enr15_sub_clean	18.29
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_babytrain_eval_enr15_test15_clean	24.74
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_babytrain_eval_enr15_test30_clean	17.22
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_babytrain_eval_enr15_test5_clean	30.07
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_babytrain_eval_enr30_clean	28.15
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_babytrain_eval_enr30_sub_clean	29.80
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_babytrain_eval_enr30_test15_clean	22.13
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_babytrain_eval_enr30_test30_clean	14.28
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_babytrain_eval_enr30_test5_clean	27.78
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_babytrain_eval_enr5_clean	31.66
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_babytrain_eval_enr5_sub_clean	27.08
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_babytrain_eval_enr5_test15_clean	26.81
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_babytrain_eval_enr5_test30_clean	20.29
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_babytrain_eval_enr5_test5_clean	31.35
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_dev_enr30_clean	37.81
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_dev_enr30_clo_clean	37.35
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_dev_enr30_far_clean	35.48
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_dev_enr30_test15_clean	37.13
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_dev_enr30_test15_clo_clean	36.43
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_dev_enr30_test15_far_clean	34.67
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_dev_enr30_test15_tv_clean	43.01
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_dev_enr30_test30_clean	37.33
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_dev_enr30_test30_clo_clean	36.45
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_dev_enr30_test30_far_clean	34.63
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_dev_enr30_test30_tv_clean	43.50
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_dev_enr30_test5_clean	37.42
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_dev_enr30_test5_clo_clean	36.92
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_dev_enr30_test5_far_clean	35.00
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_dev_enr30_test5_tv_clean	43.14
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_dev_enr30_tv_clean	43.53
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_eval_enr30_clean	30.14
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_eval_enr30_clo_clean	36.38
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_eval_enr30_clofarwall_clean	25.45
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_eval_enr30_clomed_clean	30.03
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_eval_enr30_far_clean	30.51
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_eval_enr30_med_clean	32.74
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_eval_enr30_test15_clean	29.93
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_eval_enr30_test15_clo_clean	36.10
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_eval_enr30_test15_clofarwall_clean	25.42
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_eval_enr30_test15_clomed_clean	29.78
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_eval_enr30_test15_far_clean	30.35
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_eval_enr30_test15_med_clean	32.39
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_eval_enr30_test15_tv_clean	30.95
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_eval_enr30_test30_clean	30.31
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_eval_enr30_test30_clo_clean	36.15
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_eval_enr30_test30_clofarwall_clean	25.04
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_eval_enr30_test30_clomed_clean	30.50
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_eval_enr30_test30_far_clean	31.13
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_eval_enr30_test30_med_clean	33.20
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_eval_enr30_test30_tv_clean	31.06
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_eval_enr30_test5_clean	30.07
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_eval_enr30_test5_clo_clean	36.26
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_eval_enr30_test5_clofarwall_clean	25.42
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_eval_enr30_test5_clomed_clean	29.99
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_eval_enr30_test5_far_clean	30.46
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_eval_enr30_test5_med_clean	32.62
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_eval_enr30_test5_tv_clean	31.01
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_eval_enr30_tv_clean	31.08
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_ami_dev_enr15_clean	22.17
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_ami_dev_enr15_sub_clean	22.44
